[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[166.50237     87.50856      0.45395613],[173.51323     85.491        0.46006787],[208.48524   138.48454     0.5743395],[233.50577    191.49539      0.55365074],[159.50504    89.49109     0.3951571],[136.49721   135.4975      0.3425932],[ 70.50684    186.51816      0.28440174],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.8493128e+01 1.9748918e+02 1.0288438e-01],[2.4497438e+01 1.9951129e+02 9.7792938e-02],[ 67.48119    188.5163       0.20820534],[209.50868   200.50119     0.6262753],[212.4986     197.51758      0.58022153],[239.51457    197.50008      0.42113706]
[199.62248    338.5874       0.52473557],[184.58575    270.99207      0.34351045],[2.1275244e+02 2.6160382e+02 2.5209701e-01],[1.1319843e+02 3.4800635e+02 1.2966581e-01],[6.8156708e+01 4.0435486e+02 2.6879436e-01],[152.6654    263.49124     0.3416969],[105.709984   342.3711       0.61651564],[ 36.16981   408.1057      0.6352309],[280.385     135.73608     0.6494458],[274.74536    162.05074      0.54254484],[349.8609     255.98631      0.65041214],[415.64914   376.186       0.6609006],[291.6469   111.304985   0.692659],[372.4178    248.43658     0.8247358],[455.0661    383.70032     0.7695301],[0. 0. 0.],[1.7333446e+02 3.4235922e+02 2.8454232e-01],[0. 0. 0.],[165.79755    310.41794      0.38470793],[402.49832   409.9828      0.6371051],[417.52335   411.8605      0.5898496],[464.4812   393.0678     0.683431],[376.18472   404.33936     0.5897469],[378.05405    396.82355      0.53038496],[4.2880984e+02 3.8558447e+02 4.0731788e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[167.49423    87.49287     0.4851541],[175.48534     85.4936       0.48105276],[208.48444   137.50528     0.5771699],[233.5119     191.5013       0.55457675],[160.50047     87.51172      0.42921716],[135.51056    135.50853      0.36788768],[ 70.50175   187.47612     0.2946709],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.8493347e+01 1.9748924e+02 1.0292688e-01],[2.4497480e+01 1.9951096e+02 9.7867094e-02],[ 67.48174    188.51399      0.21782064],[209.50206  200.50133    0.626988],[212.49565    197.51988      0.58118916],[239.51555   197.50294     0.4228727]
[199.62279    338.58737      0.52470416],[184.58437   270.99243     0.3432927],[2.1274835e+02 2.6160413e+02 2.5060022e-01],[1.1319807e+02 3.4800748e+02 1.2978323e-01],[6.8156769e+01 4.0435471e+02 2.6893133e-01],[152.66606   263.49045     0.3416195],[105.70994   342.37103     0.6164849],[ 36.169758   408.1057       0.63522613],[278.52194   135.73741     0.6334045],[272.87662    162.03793      0.51934755],[349.88095   257.83646     0.6125786],[415.6384    376.17828     0.6539016],[291.6342     111.309616     0.68596447],[370.59164   248.42584     0.8128869],[453.21307   383.69366     0.7730666],[0. 0. 0.],[1.7333424e+02 3.4235962e+02 2.8441501e-01],[0. 0. 0.],[165.79771    310.41882      0.38406107],[402.4831    409.98474     0.6332421],[417.51202   411.86426     0.5868345],[466.3276    393.08176     0.6924012],[376.18124    404.34515      0.58476585],[376.20673   396.82895     0.5227871],[4.2878644e+02 3.8557486e+02 3.9360556e-01]
[199.62248    338.5874       0.52473557],[184.58575    270.99207      0.34351045],[2.1275244e+02 2.6160382e+02 2.5209701e-01],[1.1319843e+02 3.4800635e+02 1.2966581e-01],[6.8156708e+01 4.0435486e+02 2.6879436e-01],[152.6654    263.49124     0.3416969],[105.709984   342.3711       0.61651564],[ 36.16981   408.1057      0.6352309],[280.385     135.73608     0.6494458],[274.74536    162.05074      0.54254484],[349.8609     255.98631      0.65041214],[415.64914   376.186       0.6609006],[291.6469   111.304985   0.692659],[372.4178    248.43658     0.8247358],[455.0661    383.70032     0.7695301],[0. 0. 0.],[1.7333446e+02 3.4235922e+02 2.8454232e-01],[0. 0. 0.],[165.79755    310.41794      0.38470793],[402.49832   409.9828      0.6371051],[417.52335   411.8605      0.5898496],[464.4812   393.0678     0.683431],[376.18472   404.33936     0.5897469],[378.05405    396.82355      0.53038496],[4.2880984e+02 3.8558447e+02 4.0731788e-01]
[199.62279    338.58737      0.52470416],[184.58437   270.99243     0.3432927],[2.1274835e+02 2.6160413e+02 2.5060022e-01],[1.1319807e+02 3.4800748e+02 1.2978323e-01],[6.8156769e+01 4.0435471e+02 2.6893133e-01],[152.66606   263.49045     0.3416195],[105.70994   342.37103     0.6164849],[ 36.169758   408.1057       0.63522613],[278.52194   135.73741     0.6334045],[272.87662    162.03793      0.51934755],[349.88095   257.83646     0.6125786],[415.6384    376.17828     0.6539016],[291.6342     111.309616     0.68596447],[370.59164   248.42584     0.8128869],[453.21307   383.69366     0.7730666],[0. 0. 0.],[1.7333424e+02 3.4235962e+02 2.8441501e-01],[0. 0. 0.],[165.79771    310.41882      0.38406107],[402.4831    409.98474     0.6332421],[417.51202   411.86426     0.5868345],[466.3276    393.08176     0.6924012],[376.18124    404.34515      0.58476585],[376.20673   396.82895     0.5227871],[4.2878644e+02 3.8557486e+02 3.9360556e-01]
[199.62274   338.58795     0.5256747],[184.58463    270.9955       0.34386563],[2.1275171e+02 2.6160431e+02 2.5124404e-01],[1.1319776e+02 3.4800821e+02 1.3001606e-01],[6.8156815e+01 4.0435522e+02 2.6930600e-01],[152.65166    265.34476      0.34197414],[105.70969   342.3715      0.6172689],[ 36.16998   408.10562     0.6361424],[280.37964    135.73973      0.64053994],[274.7356    162.0437      0.5247563],[349.87216   255.97797     0.6254304],[415.63342   376.181       0.6578356],[291.64175   111.30751     0.6900324],[370.58997    248.42435      0.81562006],[453.21155    381.84656      0.79123175],[0. 0. 0.],[1.7333415e+02 3.4235986e+02 2.8537959e-01],[0. 0. 0.],[165.79721    310.4189       0.38406497],[402.47437   409.98276     0.6326077],[417.51035   411.8533      0.6022678],[466.34344   393.09268     0.7187574],[376.17365   404.34225     0.5828332],[376.19647   396.83133     0.5215591],[4.2875351e+02 3.8559174e+02 3.7568170e-01]
[199.62271   338.5881      0.5256693],[184.58467   270.99506     0.3439482],[2.1275240e+02 2.6160379e+02 2.5136936e-01],[1.1319783e+02 3.4800790e+02 1.3000475e-01],[6.815679e+01 4.043551e+02 2.693404e-01],[152.65237   265.34387     0.3422713],[105.70975   342.37146     0.6173059],[ 36.169952 408.10562    0.636153],[280.38052    135.74092      0.64306545],[274.73846    162.04813      0.52876616],[349.87134   255.98276     0.6316156],[415.63467   376.183       0.6586164],[291.6429    111.309006    0.6915667],[370.58932    248.4279       0.81936085],[453.21463   381.84653     0.7893748],[0. 0. 0.],[1.7333432e+02 3.4235968e+02 2.8552157e-01],[0. 0. 0.],[165.79749    310.4187       0.38450456],[402.4802    409.98196     0.6325251],[417.5147    411.85275     0.6020773],[466.35135    393.08838      0.71973944],[376.179      404.3435       0.58597827],[376.20297   396.83295     0.5244715],[4.2875580e+02 3.8559143e+02 3.7912187e-01]
[199.62326    338.5881       0.52403295],[184.58174    270.9962       0.33818704],[2.1275430e+02 2.6160196e+02 2.4145745e-01],[1.1319789e+02 3.4800668e+02 1.2521650e-01],[6.8161324e+01 4.0435397e+02 2.6823613e-01],[152.65309    265.34354      0.34178203],[105.710724 342.37067    0.618341],[ 36.1703   408.1053     0.636553],[280.38565    135.73227      0.64493155],[274.74298   162.04384     0.5350168],[349.86432   255.97841     0.6199578],[415.62698   376.1894      0.6439662],[291.64856 111.30235   0.69339],[370.59003    248.42679      0.82006407],[455.05133   383.67435     0.7820121],[0. 0. 0.],[1.7333463e+02 3.4236029e+02 2.8447512e-01],[0. 0. 0.],[165.79697   310.41748     0.3799721],[402.48303    409.9875       0.61981237],[417.50827   411.857       0.5944586],[468.21494   393.0909      0.7406353],[376.18008    404.34314      0.58106416],[376.20474    396.8326       0.52233934],[4.2874268e+02 3.8559647e+02 3.6431488e-01]
[199.62328   338.58813     0.5240231],[184.58174    270.99625      0.33817455],[2.1275435e+02 2.6160199e+02 2.4144518e-01],[1.13197914e+02 3.48006714e+02 1.25216246e-01],[6.8161324e+01 4.0435394e+02 2.6822928e-01],[152.65309    265.3435       0.34179464],[105.71073   342.37064     0.6183398],[ 36.1703    408.10532     0.6365524],[280.38586    135.73184      0.64500904],[274.7431     162.04369      0.53515697],[349.86444   255.97935     0.6206757],[415.62823   376.19025     0.6439245],[291.64877   111.3019      0.6934277],[370.59058   248.42807     0.8207822],[455.0518     383.67468      0.78208745],[0. 0. 0.],[1.7333464e+02 3.4236035e+02 2.8446689e-01],[0. 0. 0.],[165.79692    310.41733      0.37996757],[402.48315  409.98773    0.620446],[417.5087     411.85715      0.59486866],[468.21637    393.09048      0.74106026],[376.1802    404.34354     0.5809345],[376.2051     396.83267      0.52223945],[4.2874457e+02 3.8559662e+02 3.6439642e-01]
[199.62325    338.58862      0.52397513],[184.5818    270.9965      0.3381694],[2.1275661e+02 2.6160226e+02 2.4116327e-01],[1.1319787e+02 3.4800638e+02 1.2576135e-01],[6.8161026e+01 4.0435400e+02 2.6841733e-01],[152.65215    265.34384      0.34144428],[105.71082   342.37073     0.6177079],[ 36.170193  408.10538     0.6360708],[280.38663   135.73087     0.6453431],[274.74377    162.04346      0.53621817],[349.8651     255.98032      0.62235534],[415.62723    376.19162      0.64472765],[291.64722    109.47203      0.69356525],[370.59232  248.42908    0.822001],[455.0522    383.6754      0.7833495],[0. 0. 0.],[1.7333470e+02 3.4236026e+02 2.8440586e-01],[0. 0. 0.],[165.79683    310.41757      0.38001543],[402.48535    409.98773      0.62282187],[417.51022   411.85724     0.5960782],[468.21622   393.09088     0.7433648],[376.18213   404.3427      0.5807829],[376.20746    396.83224      0.52195436],[4.2874219e+02 3.8559720e+02 3.6600944e-01]
[199.62314   338.58847     0.5239751],[184.5818     270.9964       0.33816284],[2.1275664e+02 2.6160220e+02 2.4121405e-01],[1.1319784e+02 3.4800623e+02 1.2575623e-01],[6.8161003e+01 4.0435388e+02 2.6841128e-01],[152.65215   265.3438      0.3414313],[105.7108    342.3706      0.6177096],[ 36.1702     408.10544      0.63607097],[280.38705    135.73091      0.64544845],[274.74518    162.0435       0.53621507],[349.8654    255.98067     0.6227719],[415.62726    376.19125      0.64498866],[291.6491     111.30139      0.69367814],[372.40677    248.43289      0.82208073],[455.05255    383.67667      0.78367674],[0. 0. 0.],[1.7333472e+02 3.4236041e+02 2.8440458e-01],[0. 0. 0.],[165.79684    310.41757      0.38003188],[402.48468   409.9878      0.6232629],[417.50992   411.85797     0.5964094],[468.2171    393.0908      0.7440022],[376.18314   404.34216     0.5808304],[376.20828    396.83182      0.52199614],[4.2874271e+02 3.8559662e+02 3.6578789e-01]
[199.62279   338.5887      0.5247048],[184.58182    270.9963       0.34007108],[2.1275624e+02 2.6160287e+02 2.4349728e-01],[1.1320052e+02 3.4800644e+02 1.2738198e-01],[6.8160362e+01 4.0435397e+02 2.6982784e-01],[152.664      263.4927       0.34362406],[105.71078   342.37045     0.6186192],[ 36.170166  408.1052      0.6367897],[280.38       133.88528      0.64316493],[274.74567   162.04166     0.5330831],[349.86597    255.97986      0.62814945],[415.62524    376.1914       0.65266854],[291.64716   109.4721      0.6929177],[372.40692  248.4332     0.820493],[455.0516    383.67572     0.7797952],[0. 0. 0.],[1.7333426e+02 3.4236023e+02 2.8485018e-01],[0. 0. 0.],[165.79645    310.41763      0.38209516],[402.48386    409.98703      0.62266517],[417.50793    411.85748      0.59768987],[468.21826   393.09012     0.7409196],[376.1832    404.34216     0.5845889],[376.20853    396.83255      0.52505606],[4.2874408e+02 3.8559570e+02 3.7042895e-01]
[199.6228    338.5887      0.5247044],[184.58188    270.99637      0.34007084],[2.1275629e+02 2.6160287e+02 2.4349840e-01],[1.1320054e+02 3.4800650e+02 1.2738198e-01],[6.8160370e+01 4.0435397e+02 2.6982790e-01],[152.664      263.4927       0.34362406],[105.71078    342.37045      0.61861926],[ 36.170166  408.1052      0.6367897],[280.37997    133.8853       0.64315724],[274.7456   162.04166    0.533075],[349.866     255.97978     0.6282516],[415.62555    376.19147      0.65271264],[291.64886   111.30122     0.6929072],[372.4072     248.43332      0.82057095],[455.05225    383.6762       0.78000027],[0. 0. 0.],[1.7333427e+02 3.4236020e+02 2.8484955e-01],[0. 0. 0.],[165.79642    310.41766      0.38209563],[402.48407   409.98737     0.6226611],[417.508   411.85754   0.5977 ],[468.21832    393.09048      0.74120307],[376.18356   404.3423      0.5846997],[376.20877   396.83243     0.5251587],[4.2874411e+02 3.8559573e+02 3.7047142e-01]
[199.62268   338.58862     0.5250189],[184.5828     270.99625      0.34058094],[2.1275555e+02 2.6160257e+02 2.4403864e-01],[1.1319952e+02 3.4800650e+02 1.2726906e-01],[6.8160355e+01 4.0435382e+02 2.6981762e-01],[152.66513    263.49316      0.34301123],[105.71068    342.3704       0.61886615],[ 36.170197  408.10516     0.6368381],[280.37982    133.88525      0.64309335],[274.74557    162.04146      0.53258944],[349.86615    255.97986      0.62835175],[415.6256    376.19165     0.6525515],[291.6488    111.30144     0.6929132],[372.4076   248.4339     0.820799],[455.05292   383.67734     0.7806194],[0. 0. 0.],[1.7333475e+02 3.4236029e+02 2.8501084e-01],[0. 0. 0.],[165.79738   310.4176      0.3818274],[402.48462  409.98718    0.623219],[417.5077     411.85806      0.59807044],[468.21915    393.09073      0.74238026],[376.18402   404.34152     0.5848847],[376.20914   396.83188     0.5248076],[4.2874432e+02 3.8559470e+02 3.7085822e-01]
[199.62263   338.5886      0.5250178],[184.58278   270.99634     0.3405835],[2.1275558e+02 2.6160257e+02 2.4403781e-01],[1.1319949e+02 3.4800653e+02 1.2726918e-01],[6.8160385e+01 4.0435410e+02 2.6981813e-01],[152.66508   263.49313     0.3430132],[105.71067   342.37033     0.6188662],[ 36.1702    408.10522     0.6368381],[280.3798    133.88524     0.6431143],[274.74548   162.04144     0.5326121],[349.8663     255.98001      0.62833065],[415.62573   376.19165     0.6526425],[291.6489     111.30147      0.69292724],[372.4077     248.4339       0.82082236],[455.0529     383.6777       0.78061897],[2.0144496e+02 3.3485529e+02 2.6434177e-01],[1.7333478e+02 3.4236038e+02 2.8501245e-01],[0. 0. 0.],[165.79733    310.41757      0.38183016],[402.4848    409.98697     0.6233448],[417.50784   411.85803     0.5981585],[468.21957    393.0908       0.74255383],[376.18396   404.3414      0.5849314],[376.2092    396.83182     0.5248585],[4.2874454e+02 3.8559467e+02 3.7124297e-01]
[199.62305   338.5888      0.5243312],[184.58212    270.99667      0.33897212],[2.1275682e+02 2.6160260e+02 2.4213830e-01],[1.1319793e+02 3.4800723e+02 1.2668246e-01],[6.8159599e+01 4.0435455e+02 2.6865768e-01],[152.66457    263.49335      0.34214965],[105.71054   342.3705      0.6184241],[ 36.170113 408.10538    0.636429],[280.3803    133.88553     0.6423462],[274.74597    162.04169      0.53218913],[349.86667   255.97989     0.6278813],[415.62595    376.1921       0.65197706],[291.64877    111.30171      0.69198734],[372.4073     248.43341      0.81984055],[455.05347    383.67798      0.77975255],[2.0144510e+02 3.3485498e+02 2.6413924e-01],[1.7333461e+02 3.4236035e+02 2.8484488e-01],[0. 0. 0.],[165.79694    310.4179       0.38075468],[402.48505  409.98694    0.624062],[417.50854   411.85773     0.5991211],[468.21988   393.09085     0.7437631],[376.18457    404.3416       0.58451706],[376.20947    396.83224      0.52435994],[4.2874390e+02 3.8559583e+02 3.6982545e-01]
[199.62302   338.5888      0.5243311],[184.58215    270.9967       0.33897206],[2.1275677e+02 2.6160260e+02 2.4213827e-01],[1.1319793e+02 3.4800720e+02 1.2668246e-01],[6.8159599e+01 4.0435455e+02 2.6865765e-01],[152.66452    263.49338      0.34214976],[105.710526  342.37054     0.6184241],[ 36.17011  408.10538    0.636429],[280.38025    133.88551      0.64234537],[274.74594   162.04166     0.5321881],[349.8667    255.97989     0.6278868],[415.62595   376.19202     0.6519816],[291.64877   111.30173     0.6919869],[372.4072    248.43344     0.8198463],[455.0534   383.67792    0.779754],[2.0144508e+02 3.3485501e+02 2.6413912e-01],[1.7333467e+02 3.4236035e+02 2.8484482e-01],[0. 0. 0.],[165.79698    310.41794      0.38075486],[402.48505    409.987        0.62407273],[417.50854  411.85776    0.599128],[468.21985   393.091       0.7437669],[376.1846    404.34164     0.5845208],[376.20947    396.8322       0.52436423],[4.2874399e+02 3.8559592e+02 3.6983287e-01]
[199.62302   338.58878     0.5243517],[184.58209    270.99667      0.33897775],[2.1275664e+02 2.6160239e+02 2.4221691e-01],[1.1319800e+02 3.4800726e+02 1.2664813e-01],[6.8159615e+01 4.0435461e+02 2.6864684e-01],[152.66457  263.49338    0.342202],[105.71054   342.37057     0.6184789],[ 36.170124 408.1053     0.636475],[280.38034    133.88556      0.64249575],[274.74615   162.04184     0.5323631],[349.86658   255.97989     0.6280774],[415.62607  376.19217    0.652467],[291.64896    111.30166      0.69203496],[372.40723   248.43335     0.8199636],[455.05383   383.6782      0.7799532],[2.0144519e+02 3.3485489e+02 2.6417887e-01],[1.7333461e+02 3.4236041e+02 2.8480947e-01],[0. 0. 0.],[165.79697    310.4178       0.38069665],[402.4853   409.9871     0.623895],[417.50848   411.8578      0.5987665],[468.21997    393.09116      0.74401903],[376.18463   404.3417      0.5850594],[376.2096    396.83224     0.5245642],[4.2874426e+02 3.8559552e+02 3.7084928e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.6032     141.44456      0.23984168],[ 74.20881    179.79921      0.21727166],[ 42.33898   219.14722     0.4002956],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.263557  225.61897     0.4012239],[ 56.27769   226.61644     0.3582907],[ 37.843468  221.63824     0.4226775]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.6032     141.44461      0.23985158],[ 74.2088     179.79918      0.21727097],[ 42.338985  219.14726     0.4002956],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.263565   225.61894      0.40122384],[ 56.27769    226.61642      0.35829064],[ 37.843468   221.63826      0.42267752]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.60323    141.4455       0.23999748],[ 74.20824    179.79984      0.22410455],[ 42.33936    219.14688      0.40270403],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.26408    225.61891      0.40409398],[ 56.277798  226.61636     0.3611463],[ 37.843773   221.638        0.42506585]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[101.60325    141.44548      0.23992795],[ 74.20826    179.79985      0.22410789],[ 42.339363  219.14691     0.4027108],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 60.264095  225.61899     0.4040981],[ 56.277805  226.61636     0.3611513],[ 37.843773   221.638        0.42507502]
[1.3945421e+02 2.0220583e+02 1.9606508e-01],[1.4044585e+02 1.8029716e+02 1.6794842e-01],[1.4692310e+02 1.8029320e+02 1.7484781e-01],[161.8606    209.16965     0.3748462],[184.7791    226.11133     0.4029276],[1.3895673e+02 1.8178951e+02 9.3962155e-02],[1.6287318e+02 2.0071523e+02 1.8315068e-01],[185.27397    216.65921      0.27434188],[ 99.61821    142.43945      0.24475977],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.4543137e+02 1.9922218e+02 1.3404921e-01],[1.4095036e+02 2.0420290e+02 8.7237388e-02],[1.45928253e+02 1.94240189e+02 1.23087674e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
